title,release_year,runtime,genre,rating,gross(M)
K.G.F: Chapter 1,2018,156 min,Crime,8.2,0
K.G.F: Chapter 1,2018,156 min,Drama,8.2,0
Dersu Uzala,1975,142 min,Adventure,8.2,0
Dersu Uzala,1975,142 min,Biography,8.2,0
Dersu Uzala,1975,142 min,Drama,8.2,0
My Father and My Son,2005,112 min,Drama,8.2,0
My Father and My Son,2005,112 min,Family,8.2,0
Vikram Vedha,2017,147 min,Action,8.2,0
Vikram Vedha,2017,147 min,Crime,8.2,0
Vikram Vedha,2017,147 min,Drama,8.2,0
Sherlock Jr.,1924,45 min,Action,8.2,0.98
Sherlock Jr.,1924,45 min,Comedy,8.2,0.98
Sherlock Jr.,1924,45 min,Romance,8.2,0.98
Swades,2004,189 min,Drama,8.2,1.22
Swades,2004,189 min,Musical,8.2,1.22
Umberto D.,1952,89 min,Drama,8.2,0.07
Paan Singh Tomar,2012,135 min,Action,8.2,0.04
Paan Singh Tomar,2012,135 min,Biography,8.2,0.04
Paan Singh Tomar,2012,135 min,Crime,8.2,0.04
Rangasthalam 1985,2018,170 min,Action,8.2,3.51
Rangasthalam 1985,2018,170 min,Drama,8.2,3.51
Bhaag Milkha Bhaag,2013,186 min,Biography,8.2,1.63
Bhaag Milkha Bhaag,2013,186 min,Drama,8.2,1.63
Bhaag Milkha Bhaag,2013,186 min,Sport,8.2,1.63
Jaws,1975,124 min,Adventure,8.1,260
Jaws,1975,124 min,Mystery,8.1,260
Jaws,1975,124 min,Thriller,8.1,260
The Grand Budapest Hotel,2014,99 min,Adventure,8.1,59.1
The Grand Budapest Hotel,2014,99 min,Comedy,8.1,59.1
The Grand Budapest Hotel,2014,99 min,Crime,8.1,59.1
The Terminator,1984,107 min,Action,8.1,38.4
The Terminator,1984,107 min,Sci-Fi,8.1,38.4
Prisoners,2013,153 min,Crime,8.1,61
Prisoners,2013,153 min,Drama,8.1,61
Prisoners,2013,153 min,Mystery,8.1,61
Mad Max: Fury Road,2015,120 min,Action,8.1,154.06
Mad Max: Fury Road,2015,120 min,Adventure,8.1,154.06
Mad Max: Fury Road,2015,120 min,Sci-Fi,8.1,154.06
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,Action,8.1,305.41
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,Adventure,8.1,305.41
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,Fantasy,8.1,305.41
Hacksaw Ridge,2016,139 min,Biography,8.1,67.21
Hacksaw Ridge,2016,139 min,Drama,8.1,67.21
Hacksaw Ridge,2016,139 min,History,8.1,67.21
Gone Girl,2014,149 min,Drama,8.1,167.77
Gone Girl,2014,149 min,Mystery,8.1,167.77
Gone Girl,2014,149 min,Thriller,8.1,167.77
Blade Runner,1982,117 min,Action,8.1,32.87
Blade Runner,1982,117 min,Drama,8.1,32.87
Blade Runner,1982,117 min,Sci-Fi,8.1,32.87
The Deer Hunter,1978,183 min,Drama,8.1,48.98
The Deer Hunter,1978,183 min,War,8.1,48.98
The Big Lebowski,1998,117 min,Comedy,8.1,17.5
The Big Lebowski,1998,117 min,Crime,8.1,17.5
Catch Me If You Can,2002,141 min,Biography,8.1,164.62
Catch Me If You Can,2002,141 min,Crime,8.1,164.62
Catch Me If You Can,2002,141 min,Drama,8.1,164.62
The Help,2011,146 min,Drama,8.1,169.71
The Exorcist,1973,122 min,Horror,8.1,232.91
Inside Out,2015,95 min,Animation,8.1,356.46
Inside Out,2015,95 min,Adventure,8.1,356.46
Inside Out,2015,95 min,Comedy,8.1,356.46
Stand by Me,1986,89 min,Adventure,8.1,52.29
Stand by Me,1986,89 min,Drama,8.1,52.29
Ratatouille,2007,111 min,Animation,8.1,206.45
Ratatouille,2007,111 min,Adventure,8.1,206.45
Ratatouille,2007,111 min,Comedy,8.1,206.45
Ford v Ferrari,2019,152 min,Action,8.1,117.62
Ford v Ferrari,2019,152 min,Biography,8.1,117.62
Ford v Ferrari,2019,152 min,Drama,8.1,117.62
Rocky,1976,120 min,Drama,8.1,117.24
Rocky,1976,120 min,Sport,8.1,117.24
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,Adventure,8.1,381.01
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,Family,8.1,381.01
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,Fantasy,8.1,381.01
"Three Billboards Outside Ebbing, Missouri",2017,115 min,Comedy,8.1,54.51
"Three Billboards Outside Ebbing, Missouri",2017,115 min,Crime,8.1,54.51
"Three Billboards Outside Ebbing, Missouri",2017,115 min,Drama,8.1,54.51
The Handmaiden,2016,145 min,Drama,8.1,2.01
