title,release_year,runtime,genre,rating,gross(M)
96,2018,158 min,Romance,8.5,0
Spider-Man: Into the Spider-Verse,2018,117 min,Animation,8.4,190.24
Spider-Man: Into the Spider-Verse,2018,117 min,Action,8.4,190.24
Spider-Man: Into the Spider-Verse,2018,117 min,Adventure,8.4,190.24
Indiana Jones and the Raiders of the Lost Ark,1981,115 min,Action,8.4,248.16
Indiana Jones and the Raiders of the Lost Ark,1981,115 min,Adventure,8.4,248.16
Avengers: Endgame,2019,181 min,Action,8.4,858.37
Avengers: Endgame,2019,181 min,Adventure,8.4,858.37
Avengers: Endgame,2019,181 min,Drama,8.4,858.37
Django Unchained,2012,165 min,Drama,8.4,162.81
Django Unchained,2012,165 min,Western,8.4,162.81
Joker,2019,122 min,Crime,8.4,335.45
Joker,2019,122 min,Drama,8.4,335.45
Joker,2019,122 min,Thriller,8.4,335.45
Aliens,1986,137 min,Action,8.4,85.16
Aliens,1986,137 min,Adventure,8.4,85.16
Aliens,1986,137 min,Sci-Fi,8.4,85.16
The Shining,1980,146 min,Drama,8.4,44.02
The Shining,1980,146 min,Horror,8.4,44.02
Apocalypse Now,1979,147 min,Drama,8.4,83.47
Apocalypse Now,1979,147 min,Mystery,8.4,83.47
Apocalypse Now,1979,147 min,War,8.4,83.47
Oldboy,2003,120 min,Action,8.4,0.71
Oldboy,2003,120 min,Drama,8.4,0.71
Oldboy,2003,120 min,Mystery,8.4,0.71
The Dark Knight Rises,2012,164 min,Action,8.4,448.14
The Dark Knight Rises,2012,164 min,Drama,8.4,448.14
The Dark Knight Rises,2012,164 min,Thriller,8.4,448.14
Avengers: Infinity War,2018,149 min,Action,8.4,678.82
Avengers: Infinity War,2018,149 min,Adventure,8.4,678.82
Avengers: Infinity War,2018,149 min,Sci-Fi,8.4,678.82
Memento,2000,113 min,Mystery,8.4,25.54
Memento,2000,113 min,Thriller,8.4,25.54
Amadeus,1984,160 min,Biography,8.4,51.97
Amadeus,1984,160 min,Drama,8.4,51.97
Amadeus,1984,160 min,Music,8.4,51.97
Coco,2017,105 min,Animation,8.4,209.73
Coco,2017,105 min,Adventure,8.4,209.73
Coco,2017,105 min,Drama,8.4,209.73
Come and See,1985,142 min,Drama,8.4,0
Come and See,1985,142 min,Thriller,8.4,0
Come and See,1985,142 min,War,8.4,0
WALL·E,2008,98 min,Animation,8.4,223.81
WALL·E,2008,98 min,Adventure,8.4,223.81
WALL·E,2008,98 min,Family,8.4,223.81
Your Name.,2016,106 min,Animation,8.4,5.02
Your Name.,2016,106 min,Drama,8.4,5.02
Your Name.,2016,106 min,Fantasy,8.4,5.02
Das Boot,1981,149 min,Drama,8.4,11.49
Das Boot,1981,149 min,War,8.4,11.49
The Lives of Others,2006,137 min,Drama,8.4,11.29
The Lives of Others,2006,137 min,Mystery,8.4,11.29
The Lives of Others,2006,137 min,Thriller,8.4,11.29
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,Comedy,8.4,0.28
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,War,8.4,0.28
Capernaum,2018,126 min,Drama,8.4,1.66
Sunset Blvd.,1950,110 min,Drama,8.4,0
Sunset Blvd.,1950,110 min,Film-Noir,8.4,0
3 Idiots,2009,170 min,Comedy,8.4,6.53
3 Idiots,2009,170 min,Drama,8.4,6.53
Paths of Glory,1957,88 min,Drama,8.4,0
Paths of Glory,1957,88 min,War,8.4,0
Witness for the Prosecution,1957,116 min,Crime,8.4,8.18
Witness for the Prosecution,1957,116 min,Drama,8.4,8.18
Witness for the Prosecution,1957,116 min,Mystery,8.4,8.18
The Great Dictator,1940,125 min,Comedy,8.4,0.29
The Great Dictator,1940,125 min,Drama,8.4,0.29
The Great Dictator,1940,125 min,War,8.4,0.29
High and Low,1963,143 min,Crime,8.4,0
High and Low,1963,143 min,Drama,8.4,0
High and Low,1963,143 min,Mystery,8.4,0
Kaithi,2019,145 min,Action,8.4,0
Kaithi,2019,145 min,Adventure,8.4,0
Kaithi,2019,145 min,Crime,8.4,0
Sardar Udham,2021,164 min,Biography,8.4,0
Sardar Udham,2021,164 min,Crime,8.4,0
Sardar Udham,2021,164 min,Drama,8.4,0
Asuran,2019,141 min,Action,8.4,0
Asuran,2019,141 min,Drama,8.4,0
Drishyam 2,2021,152 min,Crime,8.4,0
Drishyam 2,2021,152 min,Drama,8.4,0
Drishyam 2,2021,152 min,Thriller,8.4,0
Top Gun: Maverick,2022,130 min,Action,8.3,718.73
Top Gun: Maverick,2022,130 min,Drama,8.3,718.73
Heat,1995,170 min,Action,8.3,67.44
Heat,1995,170 min,Crime,8.3,67.44
Heat,1995,170 min,Drama,8.3,67.44
Inglourious Basterds,2009,153 min,Adventure,8.3,120.54
Inglourious Basterds,2009,153 min,Drama,8.3,120.54
Inglourious Basterds,2009,153 min,War,8.3,120.54
To Kill a Mockingbird,1962,129 min,Crime,8.3,0
To Kill a Mockingbird,1962,129 min,Drama,8.3,0
Requiem for a Dream,2000,102 min,Drama,8.3,3.64
Scarface,1983,170 min,Crime,8.3,45.6
Scarface,1983,170 min,Drama,8.3,45.6
American Beauty,1999,122 min,Drama,8.3,130.1
Good Will Hunting,1997,126 min,Drama,8.3,138.43
Good Will Hunting,1997,126 min,Romance,8.3,138.43
Up,2009,96 min,Animation,8.3,293
Up,2009,96 min,Adventure,8.3,293
Up,2009,96 min,Comedy,8.3,293
A Clockwork Orange,1971,136 min,Crime,8.3,6.21
A Clockwork Orange,1971,136 min,Sci-Fi,8.3,6.21
2001: A Space Odyssey,1968,149 min,Adventure,8.3,56.95
2001: A Space Odyssey,1968,149 min,Sci-Fi,8.3,56.95
Braveheart,1995,178 min,Biography,8.3,75.6
Braveheart,1995,178 min,Drama,8.3,75.6
Braveheart,1995,178 min,History,8.3,75.6
Full Metal Jacket,1987,116 min,Drama,8.3,46.36
Full Metal Jacket,1987,116 min,War,8.3,46.36
Eternal Sunshine of the Spotless Mind,2004,108 min,Drama,8.3,34.4
Eternal Sunshine of the Spotless Mind,2004,108 min,Romance,8.3,34.4
Eternal Sunshine of the Spotless Mind,2004,108 min,Sci-Fi,8.3,34.4
Once Upon a Time in America,1984,229 min,Crime,8.3,5.32
Once Upon a Time in America,1984,229 min,Drama,8.3,5.32
Toy Story,1995,81 min,Animation,8.3,191.8
Toy Story,1995,81 min,Adventure,8.3,191.8
Toy Story,1995,81 min,Comedy,8.3,191.8
Reservoir Dogs,1992,99 min,Crime,8.3,2.83
Reservoir Dogs,1992,99 min,Thriller,8.3,2.83
Hamilton,2020,160 min,Biography,8.3,0
Hamilton,2020,160 min,Drama,8.3,0
Hamilton,2020,160 min,History,8.3,0
The Hunt,2012,115 min,Drama,8.3,0.69
Star Wars: Episode VI - Return of the Jedi,1983,131 min,Action,8.3,309.13
Star Wars: Episode VI - Return of the Jedi,1983,131 min,Adventure,8.3,309.13
Star Wars: Episode VI - Return of the Jedi,1983,131 min,Fantasy,8.3,309.13
